NOx,NO2,Temperature,Relative_Humidity
56.0,67.0,19.2,37.9
239.0,144.0,31.1,26.2
318.0,69.0,20.1,71.3
133.0,115.0,29.6,18.9
162.0,117.0,7.4,56.0
76.0,81.0,15.8,48.6
288.0,146.0,9.6,18.8
146.0,69.0,12.0,71.9
158.0,115.0,5.0,63.5
39.0,37.0,3.4,38.9
213.0,146.0,11.5,33.1
208.0,146.0,10.9,32.6
265.0,169.0,6.9,48.2
90.0,69.0,11.1,66.1
518.0,193.0,24.1,20.6
278.0,160.0,7.0,60.0
109.0,98.0,18.8,36.8
168.0,110.0,9.2,55.0
176.0,114.0,9.4,53.6
477.0,148.0,7.4,44.6
43.0,31.0,18.1,79.0
31.0,43.0,20.3,59.6
41.0,46.0,32.0,15.0
105.0,117.0,34.2,19.6
466.0,187.0,7.5,24.3
27.0,46.0,19.7,43.2
113.0,72.0,6.7,79.8
111.0,83.0,27.0,42.8
26.0,42.0,20.5,54.3
116.0,90.0,21.7,18.1
455.0,224.0,6.0,46.4
346.0,200.0,3.1,57.2
590.0,171.0,31.0,21.9
166.0,122.0,28.3,34.5
535.0,114.0,21.3,61.6
180.0,122.0,4.3,49.7
475.0,138.0,7.3,61.4
122.0,116.0,24.0,34.9
438.0,127.0,14.6,72.1
43.0,53.0,27.1,48.2
194.0,81.0,6.5,79.7
175.0,111.0,22.8,43.0
134.0,73.0,14.5,65.7
209.0,105.0,13.8,63.4
340.0,121.0,9.0,70.8
55.0,69.0,25.7,33.9
214.0,73.0,21.0,76.8
550.0,213.0,8.3,53.3
253.0,140.0,12.5,38.5
58.0,68.0,36.0,20.5
592.0,136.0,12.8,71.8
162.0,120.0,13.0,27.4
513.0,127.0,10.4,82.5
40.0,52.0,35.8,22.4
228.0,121.0,16.6,55.2
159.0,132.0,36.6,27.1
163.0,124.0,28.4,50.7
330.0,116.0,13.4,37.1
41.0,56.0,15.5,32.2
152.0,126.0,24.7,30.5
74.0,68.0,20.2,50.7
495.0,139.0,16.8,70.3
87.0,93.0,27.1,54.7
305.0,118.0,20.1,75.4
274.0,170.0,30.3,25.6
57.0,67.0,22.0,44.9
472.0,190.0,21.9,29.3
192.0,113.0,19.2,39.6
203.0,124.0,8.8,45.0
401.0,126.0,12.5,72.6
359.0,115.0,14.5,60.4
72.0,84.0,24.2,37.3
406.0,133.0,22.6,61.1
77.0,70.0,21.3,35.8
193.0,114.0,12.3,73.4
358.0,170.0,6.8,72.1
294.0,149.0,9.5,35.9
183.0,122.0,6.4,52.6
201.0,121.0,26.6,39.9
66.0,62.0,8.3,67.2
122.0,113.0,33.0,26.0
249.0,125.0,19.7,49.3
66.0,72.0,21.2,23.1
270.0,146.0,17.5,34.1
174.0,66.0,22.3,60.6
172.0,151.0,40.2,13.9
317.0,167.0,10.9,44.8
208.0,120.0,23.2,43.9
251.0,131.0,25.4,30.5
323.0,146.0,31.5,34.9
121.0,95.0,25.4,24.2
217.0,146.0,16.7,49.6
361.0,99.0,14.4,60.3
455.0,114.0,21.7,53.1
159.0,127.0,37.3,22.9
234.0,159.0,32.5,25.3
339.0,124.0,11.5,60.0
105.0,89.0,22.3,33.6
259.0,155.0,8.9,37.9
130.0,88.0,19.7,38.4
42.0,56.0,24.6,62.7
144.0,130.0,40.1,19.0
277.0,134.0,12.8,65.5
154.0,119.0,7.1,62.6
254.0,151.0,8.3,38.2
170.0,113.0,13.8,58.0
221.0,125.0,17.5,60.8
683.0,188.0,12.5,63.6
434.0,170.0,14.7,37.2
48.0,50.0,24.9,50.6
560.0,174.0,8.3,58.2
137.0,103.0,17.1,61.5
148.0,81.0,12.3,67.5
84.0,61.0,12.5,67.4
95.0,57.0,19.5,68.0
59.0,65.0,35.3,23.7
68.0,81.0,15.1,44.6
139.0,139.0,40.0,18.8
309.0,141.0,1.6,37.9
131.0,143.0,38.5,22.4
90.0,60.0,14.7,37.5
125.0,119.0,34.0,32.7
359.0,131.0,10.7,50.4
533.0,120.0,13.1,81.7
65.0,84.0,16.7,28.3
48.0,68.0,35.2,20.5
279.0,50.0,18.2,70.0
53.0,65.0,20.0,31.5
287.0,226.0,38.8,24.2
46.0,60.0,37.2,29.1
110.0,64.0,11.5,81.4
136.0,91.0,20.9,36.6
213.0,108.0,33.3,24.4
96.0,63.0,12.4,65.4
40.0,56.0,35.2,32.1
211.0,138.0,12.3,19.3
135.0,100.0,4.4,53.1
174.0,88.0,15.6,61.7
115.0,61.0,18.0,35.1
541.0,211.0,5.8,64.3
275.0,148.0,30.2,22.8
337.0,127.0,3.5,80.3
142.0,110.0,18.5,46.3
7.0,11.0,25.4,63.1
266.0,84.0,21.4,61.7
32.0,29.0,8.0,64.5
399.0,127.0,12.0,66.6
128.0,105.0,4.5,48.0
313.0,161.0,24.7,25.5
366.0,153.0,17.5,49.8
463.0,166.0,12.0,73.3
21.0,31.0,10.7,45.8
194.0,122.0,1.8,74.5
177.0,131.0,23.7,30.2
28.0,43.0,14.3,61.9
91.0,89.0,25.6,36.0
27.0,33.0,14.6,53.3
694.0,178.0,14.3,45.8
250.0,150.0,0.8,69.9
52.0,59.0,28.7,20.7
667.0,151.0,24.0,50.0
227.0,141.0,11.1,43.3
83.0,84.0,25.4,40.1
59.0,44.0,18.3,70.8
231.0,167.0,4.2,77.9
574.0,224.0,11.0,51.4
153.0,67.0,9.6,68.8
27.0,35.0,33.0,37.3
765.0,187.0,16.4,68.2
119.0,97.0,13.9,33.2
70.0,65.0,29.8,43.4
290.0,139.0,23.7,49.0
215.0,154.0,21.2,40.1
90.0,54.0,18.8,59.5
126.0,76.0,11.2,42.0
386.0,166.0,23.6,22.9
137.0,100.0,17.1,35.8
318.0,177.0,25.9,21.9
111.0,120.0,32.7,27.7
215.0,136.0,10.1,58.9
93.0,65.0,15.5,63.8
595.0,215.0,10.9,25.7
165.0,111.0,17.5,30.9
143.0,84.0,22.1,61.3
106.0,91.0,13.5,67.8
339.0,107.0,23.3,46.2
372.0,120.0,8.8,52.5
97.0,96.0,19.8,46.8
563.0,184.0,21.4,38.7
432.0,123.0,7.7,73.8
590.0,175.0,17.4,57.3
480.0,167.0,10.7,37.9
98.0,98.0,20.5,41.5
416.0,82.0,20.0,69.6
96.0,92.0,28.2,19.0
710.0,178.0,12.7,44.4
108.0,90.0,11.6,62.2
115.0,79.0,11.8,67.1
163.0,106.0,23.6,27.5
54.0,53.0,26.7,28.1
360.0,121.0,8.1,53.2
605.0,127.0,10.4,74.6
67.0,81.0,18.0,40.5
150.0,119.0,12.2,53.2
102.0,96.0,19.1,22.8
531.0,165.0,5.2,67.8
766.0,243.0,18.0,36.0
160.0,116.0,16.1,34.5
118.0,70.0,9.2,55.9
588.0,196.0,6.3,78.8
315.0,110.0,23.7,45.4
247.0,134.0,10.7,67.3
83.0,68.0,12.2,72.4
162.0,69.0,17.8,66.9
330.0,97.0,17.0,43.0
69.0,83.0,15.1,58.2
255.0,117.0,12.7,51.2
548.0,155.0,14.4,63.8
41.0,54.0,33.8,32.1
702.0,166.0,11.4,68.0
152.0,110.0,0.3,31.9
685.0,137.0,15.4,63.9
387.0,123.0,16.4,59.5
84.0,80.0,18.4,43.9
154.0,124.0,16.8,44.0
200.0,124.0,21.0,37.3
305.0,75.0,16.2,70.1
268.0,92.0,19.8,64.3
159.0,106.0,11.8,77.5
420.0,139.0,14.1,66.0
148.0,112.0,6.7,62.8
139.0,41.0,20.6,70.7
473.0,166.0,21.5,42.7
366.0,111.0,20.2,66.9
251.0,150.0,12.1,67.6
529.0,113.0,22.0,69.2
70.0,58.0,13.8,51.2
61.0,70.0,22.3,22.4
95.0,88.0,1.2,51.9
97.0,73.0,3.5,55.9
161.0,146.0,38.5,23.8
276.0,147.0,26.2,19.4
69.0,78.0,27.2,38.9
107.0,61.0,12.8,59.8
310.0,145.0,16.4,53.2
222.0,133.0,12.7,70.4
248.0,172.0,25.7,27.9
163.0,106.0,34.9,20.5
312.0,156.0,5.7,54.5
48.0,67.0,23.8,36.9
66.0,74.0,9.9,50.2
96.0,79.0,13.0,61.2
268.0,133.0,5.8,42.5
191.0,148.0,23.1,27.2
121.0,89.0,11.1,33.4
152.0,117.0,4.5,76.3
386.0,147.0,12.7,21.3
282.0,135.0,16.4,43.5
44.0,53.0,27.2,45.9
149.0,119.0,35.9,20.8
349.0,150.0,17.8,40.5
54.0,59.0,6.3,66.6
67.0,69.0,26.8,28.1
289.0,79.0,23.0,62.3
142.0,107.0,6.6,43.2
270.0,118.0,21.5,43.4
690.0,144.0,6.9,75.2
397.0,178.0,11.6,15.3
203.0,136.0,32.3,16.7
643.0,194.0,13.3,59.0
108.0,58.0,11.8,81.4
559.0,146.0,12.0,67.4
234.0,149.0,21.7,31.8
52.0,59.0,26.9,39.7
433.0,171.0,7.0,43.4
186.0,114.0,7.3,32.4
428.0,161.0,17.4,33.2
438.0,164.0,9.9,53.3
214.0,106.0,14.9,56.9
56.0,51.0,3.6,48.0
237.0,82.0,16.8,79.0
300.0,163.0,28.5,33.3
156.0,113.0,13.1,26.6
89.0,104.0,30.2,18.0
395.0,90.0,19.5,57.4
83.0,75.0,21.1,46.9
480.0,174.0,5.9,37.8
612.0,171.0,10.5,25.1
107.0,65.0,17.3,78.6
75.0,75.0,21.2,46.3
737.0,156.0,5.8,83.8
166.0,86.0,16.7,51.9
414.0,181.0,12.5,17.2
125.0,115.0,13.2,50.3
161.0,119.0,19.3,38.3
276.0,176.0,18.6,36.2
211.0,89.0,19.6,66.7
272.0,122.0,13.8,83.5
106.0,80.0,12.2,66.9
343.0,103.0,7.7,76.8
243.0,130.0,30.8,32.0
126.0,63.0,21.2,68.6
74.0,49.0,21.7,67.4
346.0,147.0,19.6,49.4
149.0,87.0,16.5,59.2
230.0,115.0,23.9,38.1
326.0,109.0,5.3,80.4
111.0,77.0,24.7,45.9
253.0,155.0,9.3,34.6
255.0,76.0,18.1,67.5
241.0,154.0,19.3,28.6
39.0,52.0,9.6,58.5
267.0,115.0,1.2,61.4
184.0,112.0,8.7,74.6
344.0,98.0,28.0,39.6
270.0,86.0,19.3,70.4
144.0,108.0,5.7,54.3
248.0,172.0,3.2,83.0
99.0,73.0,23.1,49.9
568.0,99.0,12.8,77.9
242.0,156.0,4.5,47.9
108.0,89.0,30.4,31.3
46.0,63.0,33.0,17.7
47.0,53.0,38.3,27.1
135.0,111.0,17.8,37.5
283.0,125.0,30.5,29.3
57.0,71.0,19.3,57.3
228.0,142.0,11.8,53.4
33.0,46.0,16.8,77.4
92.0,62.0,22.2,45.0
165.0,102.0,20.6,47.1
98.0,74.0,21.0,61.3
99.0,106.0,10.6,56.1
133.0,99.0,21.3,26.1
369.0,158.0,16.7,45.2
794.0,224.0,9.7,31.9
107.0,106.0,19.2,35.6
345.0,128.0,18.1,39.9
103.0,83.0,2.9,49.0
455.0,117.0,23.3,53.1
229.0,123.0,23.6,53.6
41.0,45.0,17.9,46.1
726.0,110.0,11.1,77.2
104.0,99.0,14.8,54.7
177.0,126.0,9.6,31.1
158.0,103.0,14.9,40.5
156.0,121.0,29.4,35.6
324.0,168.0,18.2,28.1
272.0,151.0,6.0,70.1
41.0,12.0,19.8,31.1
70.0,57.0,13.1,64.0
173.0,138.0,32.6,9.3
509.0,231.0,9.7,39.7
388.0,135.0,15.1,45.4
230.0,101.0,26.1,47.1
105.0,68.0,15.9,65.1
61.0,63.0,22.9,30.7
66.0,86.0,32.0,19.8
95.0,103.0,19.7,47.1
207.0,143.0,8.9,46.1
73.0,79.0,23.2,30.2
26.0,7.0,15.4,53.6
182.0,104.0,7.5,55.3
701.0,240.0,19.1,32.5
188.0,64.0,9.8,79.2
41.0,54.0,16.7,43.4
244.0,132.0,11.2,69.7
278.0,105.0,25.4,47.4
75.0,62.0,20.7,53.3
164.0,74.0,21.2,65.7
542.0,117.0,9.9,76.3
159.0,97.0,8.8,50.9
580.0,193.0,10.3,71.1
112.0,98.0,10.8,58.4
87.0,79.0,25.4,68.0
228.0,102.0,24.7,49.5
294.0,115.0,18.0,42.7
45.0,60.0,10.7,59.7
131.0,91.0,19.7,58.4
178.0,72.0,21.4,52.1
275.0,114.0,11.2,57.0
137.0,87.0,29.8,28.5
282.0,159.0,13.3,60.5
218.0,109.0,24.1,50.7
53.0,65.0,28.6,53.7
202.0,180.0,32.2,17.1
581.0,115.0,16.1,46.4
48.0,54.0,22.1,56.2
147.0,117.0,7.1,39.6
75.0,88.0,27.7,40.6
170.0,77.0,15.3,59.1
354.0,165.0,6.9,86.0
24.0,36.0,26.2,43.6
167.0,104.0,9.8,81.9
345.0,90.0,19.5,58.9
398.0,111.0,28.0,38.5
94.0,40.0,17.8,68.1
219.0,137.0,18.9,26.2
215.0,140.0,5.4,30.1
111.0,83.0,11.5,34.2
239.0,53.0,19.7,74.4
190.0,100.0,12.4,73.8
34.0,51.0,21.3,58.1
497.0,155.0,4.5,76.6
109.0,87.0,16.3,55.3
218.0,136.0,10.2,25.6
287.0,137.0,20.9,42.5
46.0,36.0,27.3,52.4
310.0,112.0,7.9,60.2
63.0,67.0,13.6,59.0
259.0,94.0,16.9,80.6
210.0,83.0,25.4,34.8
304.0,185.0,11.8,23.0
394.0,65.0,17.6,74.8
129.0,106.0,15.9,42.0
275.0,130.0,29.8,38.0
109.0,87.0,12.8,64.5
698.0,144.0,13.1,70.3
284.0,122.0,2.8,30.3
317.0,206.0,34.9,29.3
202.0,115.0,25.5,34.1
117.0,100.0,4.0,80.8
180.0,128.0,21.3,30.8
140.0,116.0,14.2,60.5
317.0,195.0,6.7,76.2
57.0,64.0,32.5,40.6
219.0,138.0,20.8,22.5
378.0,103.0,13.0,79.2
107.0,123.0,43.1,13.8
73.0,73.0,10.9,64.6
115.0,139.0,32.4,19.1
25.0,25.0,3.6,50.3
90.0,81.0,19.8,23.1
436.0,129.0,15.4,59.6
434.0,145.0,19.1,36.8
295.0,138.0,16.3,51.5
134.0,89.0,15.0,41.7
637.0,121.0,13.4,78.8
269.0,111.0,8.9,57.4
565.0,111.0,20.0,63.9
270.0,158.0,16.0,50.7
180.0,87.0,11.7,75.3
565.0,241.0,12.2,34.3
275.0,125.0,20.9,44.6
402.0,137.0,13.3,50.9
371.0,127.0,20.3,35.5
231.0,157.0,6.9,71.3
249.0,139.0,13.6,65.3
190.0,94.0,16.9,80.9
203.0,115.0,12.5,63.7
117.0,99.0,26.9,32.6
433.0,120.0,8.5,76.9
140.0,55.0,17.6,70.8
99.0,95.0,27.0,31.8
146.0,84.0,18.5,57.4
105.0,90.0,6.9,39.6
102.0,65.0,23.6,40.8
168.0,63.0,20.8,68.6
98.0,89.0,20.3,38.0
57.0,50.0,19.5,63.5
110.0,92.0,26.6,47.6
441.0,102.0,23.3,57.5
136.0,130.0,33.4,24.7
184.0,106.0,7.2,68.6
395.0,168.0,11.5,78.1
119.0,54.0,23.4,27.1
612.0,231.0,17.0,55.9
249.0,94.0,29.4,42.9
62.0,75.0,16.4,50.5
78.0,79.0,18.9,49.3
257.0,135.0,18.4,36.9
92.0,107.0,34.6,18.2
402.0,159.0,16.4,62.5
570.0,208.0,18.3,50.0
398.0,148.0,10.2,23.8
41.0,49.0,15.3,49.7
230.0,110.0,9.6,51.7
238.0,146.0,15.3,47.4
43.0,55.0,25.4,55.1
107.0,85.0,11.2,33.8
108.0,81.0,14.5,78.3
111.0,89.0,15.3,62.1
346.0,132.0,25.1,25.8
184.0,100.0,14.3,68.5
279.0,161.0,15.7,44.1
67.0,64.0,22.8,31.4
106.0,73.0,14.6,56.8
144.0,123.0,28.9,26.0
108.0,87.0,3.7,65.9
226.0,126.0,20.1,32.9
300.0,170.0,4.8,39.6
101.0,62.0,16.2,57.4
452.0,186.0,8.3,39.5
267.0,179.0,38.2,20.9
107.0,73.0,23.1,32.1
112.0,103.0,22.1,44.1
358.0,142.0,19.1,42.1
399.0,231.0,2.1,59.9
170.0,122.0,22.0,24.0
33.0,32.0,5.8,59.4
148.0,78.0,7.3,63.5
473.0,167.0,8.9,54.8
106.0,101.0,27.9,30.4
22.0,36.0,22.1,44.3
89.0,42.0,26.8,60.5
274.0,145.0,9.7,62.5
105.0,75.0,9.7,58.6
91.0,90.0,15.7,49.4
492.0,151.0,12.7,45.5
460.0,152.0,17.7,55.6
119.0,96.0,16.9,34.6
74.0,62.0,2.7,43.2
284.0,120.0,14.6,77.7
69.0,92.0,39.7,19.1
271.0,156.0,13.6,20.0
320.0,157.0,13.0,61.6
282.0,104.0,23.7,54.4
348.0,233.0,36.9,17.9
281.0,186.0,29.5,20.1
394.0,107.0,26.2,51.7
216.0,59.0,16.8,73.3
98.0,106.0,17.1,51.8
137.0,112.0,32.2,30.4
204.0,147.0,34.1,19.1
56.0,73.0,32.0,38.2
321.0,194.0,8.6,38.1
147.0,104.0,9.8,68.0
129.0,118.0,23.7,39.4
84.0,88.0,27.3,44.1
327.0,95.0,12.7,65.6
124.0,109.0,17.3,38.8
73.0,77.0,18.4,24.6
438.0,150.0,14.4,28.9
83.0,71.0,20.1,47.8
530.0,105.0,24.4,52.5
811.0,216.0,7.3,76.7
178.0,135.0,16.0,48.4
41.0,65.0,24.8,37.8
549.0,220.0,17.3,53.6
176.0,125.0,26.1,37.8
134.0,123.0,26.3,27.3
341.0,112.0,26.9,53.1
134.0,100.0,8.3,40.3
253.0,141.0,13.4,47.8
234.0,130.0,8.9,54.4
441.0,174.0,23.9,44.4
176.0,72.0,13.0,67.6
124.0,87.0,18.5,36.7
180.0,96.0,12.3,71.2
123.0,77.0,18.3,60.8
100.0,63.0,8.3,80.4
73.0,69.0,13.9,59.6
156.0,110.0,15.6,61.6
606.0,147.0,22.9,41.3
89.0,84.0,15.6,56.6
91.0,75.0,15.1,54.5
225.0,78.0,8.7,84.2
72.0,69.0,38.8,15.8
33.0,50.0,21.1,45.6
65.0,64.0,21.3,42.3
701.0,165.0,23.5,52.0
316.0,137.0,11.2,79.6
34.0,49.0,22.5,43.2
167.0,76.0,17.3,57.6
72.0,70.0,23.8,55.4
454.0,77.0,19.3,70.8
232.0,119.0,14.8,44.1
706.0,207.0,13.1,69.6
255.0,124.0,16.4,72.4
182.0,93.0,9.5,63.1
18.0,29.0,24.3,48.3
102.0,96.0,24.7,39.3
85.0,69.0,9.8,61.8
179.0,82.0,16.7,54.7
573.0,187.0,11.6,76.0
230.0,146.0,21.5,40.8
308.0,158.0,13.7,58.5
363.0,211.0,33.1,25.9
33.0,26.0,10.9,50.1
108.0,83.0,4.5,42.0
186.0,142.0,6.9,36.4
68.0,82.0,14.8,41.0
94.0,87.0,9.4,53.4
76.0,69.0,13.9,60.7
58.0,61.0,26.6,42.8
203.0,116.0,1.9,35.0
31.0,9.0,19.8,31.2
191.0,80.0,12.6,71.5
152.0,117.0,27.1,38.3
461.0,171.0,13.4,40.4
47.0,64.0,14.0,51.3
191.0,131.0,10.3,32.9
126.0,110.0,34.4,22.5
69.0,61.0,15.1,44.5
215.0,150.0,4.0,50.0
280.0,111.0,11.3,79.9
28.0,37.0,31.2,36.3
71.0,85.0,29.5,42.7
628.0,246.0,11.6,59.8
124.0,84.0,15.0,53.1
253.0,139.0,11.0,59.1
472.0,107.0,14.0,75.7
601.0,144.0,24.7,43.6
667.0,177.0,21.0,37.2
345.0,197.0,9.1,37.8
205.0,127.0,16.1,41.5
75.0,92.0,9.9,59.5
99.0,84.0,26.0,48.0
516.0,175.0,6.5,41.7
183.0,92.0,16.6,19.9
176.0,119.0,19.4,25.3
44.0,52.0,24.7,56.9
145.0,92.0,23.0,55.8
256.0,133.0,6.1,45.2
265.0,153.0,31.1,18.7
185.0,119.0,17.8,48.1
300.0,130.0,13.0,54.2
154.0,77.0,11.3,81.0
512.0,175.0,11.0,33.0
285.0,124.0,14.5,45.4
140.0,109.0,12.2,70.0
112.0,80.0,22.0,20.2
200.0,128.0,22.4,20.0
129.0,102.0,30.2,20.5
95.0,75.0,20.2,30.7
204.0,138.0,4.4,43.3
108.0,106.0,14.5,35.4
150.0,119.0,16.9,34.3
234.0,116.0,24.7,37.1
266.0,98.0,19.6,36.3
69.0,76.0,28.2,51.1
237.0,117.0,11.1,70.2
127.0,111.0,36.2,18.6
576.0,165.0,9.6,53.7
124.0,78.0,16.3,59.7
100.0,86.0,24.6,44.9
293.0,95.0,14.8,61.3
137.0,108.0,28.8,25.1
184.0,126.0,8.3,79.8
333.0,134.0,22.8,42.7
50.0,61.0,25.1,48.0
122.0,71.0,29.4,53.1
760.0,158.0,9.7,70.1
26.0,35.0,22.2,18.9
256.0,148.0,10.7,33.1
90.0,44.0,18.2,76.9
66.0,85.0,31.2,24.6
147.0,102.0,14.6,53.1
564.0,158.0,16.0,67.8
189.0,130.0,4.3,50.0
119.0,86.0,8.0,68.9
92.0,97.0,20.8,36.3
53.0,60.0,7.2,67.5
305.0,117.0,26.2,24.4
81.0,95.0,29.8,41.7
